Date,Day_Num,Open,High,Low,Close,Adj_Close,Volume
2024-03-27,212,13.05,13.72,12.8,13.17,13.17,17871300
2024-03-28,213,13.19,13.19,12.47,12.52,12.52,8473500
2024-04-01,214,12.63,12.67,11.55,11.99,11.99,9207100
2024-04-02,215,11.84,11.99,11.26,11.28,11.28,6327700
2024-04-03,216,11.22,11.5,10.9,11.38,11.38,4331500
2024-04-04,217,11.5,11.83,11.38,11.53,11.53,4347000
2024-04-05,218,11.3,11.5,10.97,11.25,11.25,4750800
2024-04-08,219,11.3,11.37,10.83,10.83,10.83,3659100
2024-04-09,220,10.85,11.18,10.73,11.01,11.01,3514400
2024-04-10,221,10.9,11.07,10.75,10.85,10.85,3546200
2024-04-11,222,10.91,11.39,10.8,11.29,11.29,3802100
2024-04-12,223,11.21,11.23,10.76,10.77,10.77,3196300
2024-04-15,224,10.81,10.84,10.06,10.06,10.06,5086300
2024-04-16,225,10,10.55,9.95,10.37,10.37,4162100
2024-04-17,226,10.44,10.59,10.3,10.3,10.3,2096700
2024-04-18,227,10.32,10.63,10.27,10.31,10.31,2175400
2024-04-19,228,10.2,10.5,10.2,10.42,10.42,2455100
2024-04-22,229,10.41,10.45,10.01,10.01,10.01,3261000
2024-04-23,230,10.05,10.28,10.01,10.16,10.16,2511800
2024-04-24,231,10.16,10.94,10.16,10.93,10.93,4829600
2024-04-25,232,10.7,11.21,10.48,11.21,11.21,4903800
2024-04-26,233,11.18,12.19,11,11.9,11.9,7685100
2024-04-29,234,11.84,11.96,11.18,11.29,11.29,3821500
2024-04-30,235,11.18,11.3,10.91,11.09,11.09,2866500
2024-05-01,236,11.03,11.32,10.7,10.91,10.91,2653200
2024-05-02,237,11.11,12.88,10.96,12.76,12.76,8654800
2024-05-03,238,12.42,17.450001,12.31,16.469999,16.469999,36292400
2024-05-06,239,14.99,17.4,13.62,16.309999,16.309999,48018700
2024-05-07,240,15.85,17.290001,14.93,16.309999,16.309999,24308600
2024-05-08,241,16.049999,17.24,15.33,15.92,15.92,24775100
2024-05-09,242,15.9,18.51,15.35,18.01,18.01,25759300
2024-05-10,243,17.93,20.200001,16.879999,17.459999,17.459999,36831900
2024-05-13,244,26.34,38.200001,24.77,30.450001,30.450001,187241700
2024-05-14,245,64.830002,64.830002,36,48.75,48.75,206979100
2024-05-15,246,40.310001,42.349998,31,39.549999,39.549999,131790100
2024-05-16,247,33.98,35.240002,27.59,27.67,27.67,76177600
2024-05-17,248,21.860001,22.41,19.700001,22.209999,22.209999,96079600
2024-05-20,249,21.540001,23.4,18.940001,23.139999,23.139999,55261600
2024-05-21,250,22.24,22.85,20.040001,22.120001,22.120001,49250100
2024-05-22,251,21.559999,22.25,20.76,21.120001,21.120001,43521400
2024-05-23,252,21.4,21.4,18.26,18.32,18.32,30370500
2024-05-24,253,18.42,18.639999,17.700001,18.040001,18.040001,15988456
